FS Item,FS Item Name,L01
P1112,Non-TV Traditional,Brand & Marketing Investment
P1121,Paid Social Video & Display,Brand & Marketing Investment
P1122,Paid Social others,Brand & Marketing Investment
P1131,Paid Search,Brand & Marketing Investment
P1132,Digital Video & Display,Brand & Marketing Investment
P1133,Connected TV,Brand & Marketing Investment
P1134,Digital others,Brand & Marketing Investment
P1141,Influencer Talent fees,Brand & Marketing Investment
P1142,Influencer Agency fees,Brand & Marketing Investment
P1143,Media Boosting fees,Brand & Marketing Investment
P1255,Merchandising -Trade,Brand & Marketing Investment
P1260,Merchandising - Consumer,Brand & Marketing Investment
P1171,Retail Media Search,Brand & Marketing Investment
P1172,Retail Media Video & Display,Brand & Marketing Investment
P1185,Retail Media others,Brand & Marketing Investment
P2940,Central Eliminations,Overheads
S4057,Disposal Overheads Under Control,Disposal OVH
S0900,Trade Terms,Turnover
P0300,Supply Chain Costs -  Material,Supply Chain Cost
P1200,Content & Support,Brand & Marketing Investment
P1110,Traditional Media,Brand & Marketing Investment
P1120,Social Media,Brand & Marketing Investment
P1130,Digital Media (excl. Social),Brand & Marketing Investment
P1140,Influencers,Brand & Marketing Investment
P1230,PR & Sponsorship,Brand & Marketing Investment
P1199,Retail Media,Brand & Marketing Investment
P1499,Promotional Investment,Brand & Marketing Investment
P1250,Point of Sale,Brand & Marketing Investment
P3040,Overheads under Control,Overheads
