Company,month,BFPP,L01,Actual_EUR,Plan_EUR,Gap_EUR,Gap_%
2236,10,BFPP-2MU,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2S6,Brand & Marketing Investment,0.0,-44836.86673152684,44836.86673152684,-1.0
2236,10,BFPP-2UQ,Brand & Marketing Investment,0.0,-16200.54200695935,16200.54200695935,-1.0
2236,10,BFPP-2VR,Brand & Marketing Investment,0.0,-264.8901355220284,264.8901355220284,-1.0
2236,10,BFPP-2W1,Brand & Marketing Investment,0.0,-12875970.193837486,12875970.193837486,-1.0
2236,10,BFPP-2XO,Brand & Marketing Investment,0.0,-913213.0718224386,913213.0718224386,-1.0
2236,10,BFPP-2XQ,Brand & Marketing Investment,0.0,-7124473.947565259,7124473.947565259,-1.0
2236,10,BFPP-2XR,Brand & Marketing Investment,0.0,-1982669.8742561485,1982669.8742561485,-1.0
2236,10,BFPP-2YA,Brand & Marketing Investment,0.0,-1001285.1431239932,1001285.1431239932,-1.0
2236,10,BFPP-2YO,Brand & Marketing Investment,0.0,-689896.2263542674,689896.2263542674,-1.0
2236,10,BFPP-2Z5,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-2Z7,Brand & Marketing Investment,0.0,-418345.313588309,418345.313588309,-1.0
2236,10,BFPP-2ZY,Brand & Marketing Investment,0.0,-478817.3650426667,478817.3650426667,-1.0
2236,10,BFPP-31R,Brand & Marketing Investment,0.0,-22435.068352473718,22435.068352473718,-1.0
2236,10,BFPP-31U,Brand & Marketing Investment,0.0,-29990.471579630048,29990.471579630048,-1.0
2236,10,BFPP-32G,Brand & Marketing Investment,0.0,0.0,0.0,
2236,10,BFPP-32K,Brand & Marketing Investment,0.0,-3760810.1108535184,3760810.1108535184,-1.0
2236,10,BFPP-32L,Brand & Marketing Investment,0.0,-3523.451732907079,3523.451732907079,-1.0
2236,10,BFPP-32M,Brand & Marketing Investment,0.0,-2113.245340066135,2113.245340066135,-1.0
2236,10,BFPP-32O,Brand & Marketing Investment,0.0,-4050.214679902696,4050.214679902696,-1.0
2236,10,BFPP-32U,Brand & Marketing Investment,0.0,-87129.40229543521,87129.40229543521,-1.0
2236,10,BFPP-32Y,Brand & Marketing Investment,0.0,-347360.1561418282,347360.1561418282,-1.0
2236,10,BFPP-32Z,Brand & Marketing Investment,0.0,-177665.29848953857,177665.29848953857,-1.0
2236,10,BFPP-333,Brand & Marketing Investment,0.0,-228778.46193975816,228778.46193975816,-1.0
2236,10,BFPP-334,Brand & Marketing Investment,0.0,-1150295.9380171292,1150295.9380171292,-1.0
2236,10,BFPP-33W,Brand & Marketing Investment,0.0,-29319.90851520255,29319.90851520255,-1.0
2236,10,BFPP-340,Brand & Marketing Investment,0.0,-28857.70141571515,28857.70141571515,-1.0
2236,10,BFPP-341,Brand & Marketing Investment,0.0,-52804.05775045398,52804.05775045398,-1.0
2236,10,BFPP-342,Brand & Marketing Investment,0.0,-82128.48943179751,82128.48943179751,-1.0
2236,10,BFPP-343,Brand & Marketing Investment,0.0,-63031.30667581379,63031.30667581379,-1.0
2236,10,BFPP-344,Brand & Marketing Investment,0.0,-71532.17051200135,71532.17051200135,-1.0
2236,10,BFPP-36L,Brand & Marketing Investment,0.0,-1601.4896105036603,1601.4896105036603,-1.0
2236,10,BFPP-36O,Brand & Marketing Investment,0.0,-15.166072198615192,15.166072198615192,-1.0
